ta_season,ta_market,ta_name,ta_team_code,ta_team_id,ta_alias,ta_division,ta_current_division,ta_wins,ta_losses,ta_ties,spread_0,spread_1,spread_2,spread_3,spread_4,spread_5
2015,"University of Missouri, Columbia",Tigers,434,77ca152a-cb2f-48a5-97b2-492351250d94,MIZZ,1,D1,10,21,0,-11,-14,11,12,25,12
2015,University of Detroit Mercy,Titans,184,1b78e7f6-f25c-4921-98e2-9bc565f8dfb4,DET,1,D1,16,15,0,1,-3,-6,7,8,1
2015,"California State University, Fullerton",Titans,97,c009914b-3303-4dee-b915-978aa48a31d0,CSF,1,D1,10,20,0,-10,-13,-9,-4,11,-9
2015,"University of Wisconsin, Madison",Badgers,796,c7569eae-5b93-4197-b204-6f3a62146b25,WIS,1,D1,22,13,0,9,32,22,11,16,16
2015,Oregon State University,Beavers,528,532d3874-b4b3-4c5c-acc6-749a6db26c8f,ORST,1,D1,19,13,0,6,3,0,-4,6,-9
2015,Idaho State University,Bengals,294,6a67ba19-56a8-4dd8-a5ae-9e9f2523c274,IDST,1,D1,16,15,0,1,-16,-7,-18,-12,-11
2015,Cornell University,Big Red,167,88ff8c00-958e-4ccf-a21d-77fab9e93692,COR,1,D1,10,18,0,-8,-4,-24,-5,-4,-8
2015,University of Alabama at Birmingham,Blazers,9,63a8fdcf-b51b-4de3-8a57-2a6e41d362ce,UAB,1,D1,26,7,0,19,4,5,-1,-1,13
2015,Ohio University,Bobcats,519,327f09e2-e75f-4014-8ef7-caf9202cd583,OHIO,1,D1,23,12,0,11,-10,13,14,21,3
2015,Quinnipiac University,Bobcats,562,6a8d2a24-2128-47a0-913f-3d29e9d6592c,QUIN,1,D1,9,21,0,-12,0,8,-1,4,12
2015,Montana State University-Bozeman,Bobcats,440,bec40585-b587-4548-93f5-b7c00b046aea,MTST,1,D1,14,17,0,-3,-16,-3,-4,-5,-5
2015,Texas State University-San Marcos,Bobcats,670,1e5dc9e4-c60d-487b-8279-dfbec9229faa,TXST,1,D1,15,16,0,-1,-3,-15,-10,-4,0
2015,St. Bonaventure University,Bonnies,596,22d90601-19d4-461b-a901-924d12f116ed,SBON,1,D1,22,9,0,13,5,3,-1,8,1
2015,Boise State University,Broncos,66,c1c54dbf-805c-47fc-a707-c803e94db2a4,BSU,1,D1,20,12,0,8,16,8,10,-4,9
2015,Santa Clara University,Broncos,631,28023973-1d9d-4d01-b939-dc8f9b44fb1c,SCU,1,D1,11,20,0,-9,-4,-5,14,-14,10
2015,Western Michigan University,Broncos,774,f2164f01-2cbc-4967-bb1c-93656d790921,WMU,1,D1,13,19,0,-6,6,13,9,-6,8
